RTO,Latitude,Longitude
AJMER RTO,26.45,74.7
ALAPPUZHA RTO,9.5,76.38333333
ALWAR RTO,27.56666667,76.63333333
AMBALA CITY,30.35,76.86666667
AMBIKAPUR RTO,23.16666667,83.25
AMBUR UO,21.83333333,78.75
AMRELI,21.6,71.25
ANAND,22.53333333,73
ARAKKONAM UO,13.08333333,79.71666667
ATTUR RTO,11.6,78.65
BAGALKOT RTO,16.2,75.75
BALAGHAT DTO,21.8,80.25
BALOTRA DTO,25.81666667,72.35
BANSWARA DTO,23.5,74.4
BARAN DTO,25.08333333,76.55
BARMER DTO,25.75,71.41666667
BARPETA,26.31666667,91
BEAWAR DTO,26.1,74.35
BELLARY RTO,15.15,76.91666667
BENGALURU CENTRAL RTO,12.96666667,77.63333333
BENGALURU EAST RTO,12.96666667,77.63333333
BENGALURU NORTH RTO,12.96666667,77.63333333
BENGALURU SOUTH RTO,12.96666667,77.63333333
BENGALURU WEST RTO,12.96666667,77.63333333
BETTIAH,26.8,84.55
BETUL DTO,22.46666667,78.63333333
BHAGALPUR,25.25,87.01666667
BHALKI ARTO,18.06666667,77.16666667
BHANDARA,21.15,79.7
BHARATPUR RTO,27.25,77.5
BHARUCH,21.68333333,73.01666667
BHAVNAGAR,21.76666667,72.18333333
BHILWARA DTO,25.35,74.66666667
BHIND DTO,26.6,78.76666667
BHINMAL DTO,25,72.31666667
BHIWANI,28.76666667,76.3
BHOPAL RTO,23.26666667,77.6
BIDAR RTO,17.91666667,77.65
BIJAPUR DTO,16.83333333,75.78333333
BIJAPUR RTO,16.83333333,75.78333333
BIKANER RTO,28.01666667,73.36666667
BILASPUR RTO,22.08333333,82.21666667
BONGAIGAON,26.46666667,90.56666667
BUNDI DTO,25.45,75.68333333
BURHANPUR DTO,21.28333333,76.28333333
CHALISGAON,20.55,75.16666667
CHHINDWARA ARTO,22.05,78.98333333
CHIDAMBARAM RTO,11.4,79.73333333
CHITRADURGA RTO,14.23333333,76.43333333
CHITTUR SRTO,10.7,76.78333333
CHOMU DTO,27.11666667,75.78333333
CHURU DTO,28.31666667,75.01666667
COIMBATORE (CENTRAL) RTO,11,77
COIMBATORE (NORTH) RTO,11,77
COIMBATORE (SOUTH) RTO,11,77
COIMBATORE (WEST) RTO,11,77
CUDDALORE RTO,11.71666667,79.81666667
DAMOH DTO,23.83333333,79.48333333
DATIA DTO,25.65,78.45
DEOGARH RTO,21.85,78.83333333
DEWAS DTO,22.96666667,78.1
DHAR ARTO,22.58333333,75.33333333
DHARAPURAM RTO,10.75,77.56666667
DHARMAPURI RTO,12.13333333,78.21666667
DHOLPUR DTO,26.7,77.88333333
DHUBRI,26.03333333,89.96666667
DHULE,20.96666667,74.78333333
DIBRUGARH,27.48333333,94.9
DIDWANA DTO,27.28333333,74.41666667
DINDIGUL RTO,10.36666667,78
DINDORI DTO,22.95,81.68333333
DUNGARPUR DTO,23.83333333,73.83333333
DWARKA,22.23333333,69.01666667
ERNAKULAM RTO,10,76.25
ERODE (WEST) RTO,11.33333333,77.76666667
ERODE RTO,11.33333333,77.76666667
FARIDABAD,28.41666667,77.36666667
FATEHABAD,29.51666667,75.5
GADAG RTO,15.41666667,75.7
GAYA,42.81666667,85.01666667
GOALPARA,26.16666667,90.61666667
GOKAK ARTO,16.18333333,74.86666667
GOLAGHAT,26.51666667,93.96666667
GOPALGANJ,26.46666667,84.43333333
GUNA DTO,24.66666667,77.33333333
GURUGRAM SOUTH,28.61666667,77.06666667
GWALIOR RTO,26.23333333,78.16666667
